page_number,winner,winning_club,loser,losing_club,cup,stage,boatclass,winner_station,time,date,barrier_time,barrier_loser_leading,fawley_time,fawley_loser_leading,finish_time,verdict
2,"C.M. Madden, Cambridge Boat Club, U.S.A.","C.M. Madden, Cambridge Boat Club, U.S.A.","S.M. Luwis, Whitemarsh Boat Club, U.S.A.","S.M. Luwis, Whitemarsh Boat Club, U.S.A.",The Princess Royal Challenge Cup,semi-final,W1,Station 1 - Berks,19:50,2024-07-06,167.0,False,281.0,False,579.0,2.5 lengths
2,"Princeton University 'A', U.S.A.","Princeton University, U.S.A.",Oxford Brookes University 'B',Oxford Brookes University,The Temple Challenge Cup,semi-final,M8+,Station 1 - Berks,19:40,2024-07-06,116.0,False,196.0,False,412.0,2.25 lengths
2,Marlow Rowing Club,Marlow Rowing Club,The Tideway Scullers' School,The Tideway Scullers' School,The Diamond Jubilee Challenge Cup,semi-final,W4,Station 1 - Berks,19:30,2024-07-06,141.0,False,241.0,False,512.0,3 lengths
2,Oxford Brookes University,Oxford Brookes University,"Leander Club, Imperial Coll. London","Leander Club, Imperial Coll. London",The Remenham Challenge Cup,semi-final,W8+,Station 2 - Bucks,19:20,2024-07-06,131.0,False,221.0,False,461.0,0.66 lengths
2,"Algemene Amsterdamsche Studenten Roeivereniging Skøll, Netherlands","Algemene Amsterdamsche Studenten Roeivereniging Skøll, Netherlands",Star and Arrow Club,Star and Arrow Club,The Prince of Wales Challenge Cup,semi-final,M4,Station 1 - Berks,19:10,2024-07-06,124.0,False,207.0,False,443.0,3.25 lengths
2,Leander Club,Leander Club,"Queen's University, Belfast","Queen's University, Belfast",The Prince of Wales Challenge Cup,semi-final,M4,Station 2 - Bucks,19:00,2024-07-06,122.0,False,205.0,False,428.0,0.75 lengths
2,"Princeton Training Center and Advanced Rowing Initiative of the Northeast, U.S.A.","Princeton Training Center and Advanced Rowing Initiative of the Northeast, U.S.A.","Hollandia Roeiclub, Netherlands","Hollandia Roeiclub, Netherlands",The Remenham Challenge Cup,semi-final,W8+,Station 2 - Bucks,18:50,2024-07-06,128.0,True,215.0,False,445.0,0.5 lengths
2,"R. Liu, Shanghai Jiao Tong University, China","R. Liu, Shanghai Jiao Tong University, China","J. Faralisch, Frankfurter Rudergesellschaft Germania 1869 e.V., Germany","J. Faralisch, Frankfurter Rudergesellschaft Germania 1869 e.V., Germany",The Princess Royal Challenge Cup,semi-final,W1,Station 2 - Bucks,18:40,2024-07-06,175.0,False,295.0,False,599.0,rowed over
2,"R.D. Schmela & T. Hagemeister, Berliner Ruderclub and Frankfurter Rudergesellschaft Germania 1869 e.V., Germany","R.D. Schmela & T. Hagemeister, Berliner Ruderclub and Frankfurter Rudergesellschaft Germania 1869 e.V., Germany","J.E. Dorney & J.J. Kearney, Shandon Boat Club and University College, Cork, Ireland","J.E. Dorney & J.J. Kearney, Shandon Boat Club and University College, Cork, Ireland",The Silver Goblets & Nickalls' Challenge Cup,semi-final,M2-,Station 1 - Berks,18:30,2024-07-06,141.0,False,238.0,False,489.0,2 lengths
2,St. Paul's School,St. Paul's School,St. Edward's School,St. Edward's School,The Princess Elizabeth Challenge Cup,semi-final,M8+,Station 1 - Berks,17:20,2024-07-06,116.0,False,196.0,False,407.0,1.25 lengths
2,Newcastle University,Newcastle University,University of London 'A',University of London,The Island Challenge Cup,semi-final,W8+,Station 1 - Berks,17:10,2024-07-06,131.0,False,221.0,False,455.0,0.5 lengths
2,"Shawnigan Lake School, Canada","Shawnigan Lake School, Canada",Molesey Boat Club,Molesey Boat Club,The Princess Grace Challenge Cup,semi-final,W4,Station 2 - Bucks,17:00,2024-07-06,135.0,False,226.0,False,477.0,3.25 lengths
3,"N. Van Sprang & G. Krommenhoek, Hollandia Roeiclub, Netherlands","N. Van Sprang & G. Krommenhoek, Hollandia Roeiclub, Netherlands","M. Valbirk & K.B. Mortensen, Danmarks Rocenter, Denmark","M. Valbirk & K.B. Mortensen, Danmarks Rocenter, Denmark",The Silver Goblets & Nickalls' Challenge Cup,semi-final,M2-,Station 1 - Berks,16:50,2024-07-06,135.0,False,228.0,False,479.0,2 lengths
3,"Lausanne-Sports Aviron, Switzerland and Shawnigan Lake School, Canada","Lausanne-Sports Aviron, Switzerland and Shawnigan Lake School, Canada","Ruderclub Baden and See-Club Luzern, Switzerland","Ruderclub Baden and See-Club Luzern, Switzerland",The Princess Grace Challenge Cup,semi-final,W4,Station 1 - Berks,16:40,2024-07-06,140.0,True,232.0,False,478.0,2.25 lengths
3,Shiplake College,Shiplake College,Eton College,Eton College,The Princess Elizabeth Challenge Cup,semi-final,M8+,Station 2 - Bucks,16:30,2024-07-06,118.0,True,198.0,False,417.0,0.75 lengths
3,Oxford Brookes University 'A',Oxford Brookes University,Cambridge University,Cambridge University,The Island Challenge Cup,semi-final,W8+,Station 1 - Berks,16:20,2024-07-06,131.0,False,223.0,False,466.0,1.5 lengths
3,Oxford Brookes University and Taurus Boat Club,Oxford Brookes University and Taurus Boat Club,"Brown University, U.S.A.","Brown University, U.S.A.",The Visitors' Challenge Cup,semi-final,M4,Station 1 - Berks,16:10,2024-07-06,124.0,False,209.0,False,436.0,1.75 lengths
3,"Ruder-Klub Normannia Braunschweig e.V. and Sportclub Magdeburg e.V. Abteilung Rudern, Germany","Ruder-Klub Normannia Braunschweig e.V. and Sportclub Magdeburg e.V. Abteilung Rudern, Germany","Sõudekeskus Kalev and Pärnu Sõudeklubi, Estonia","Sõudekeskus Kalev and Pärnu Sõudeklubi, Estonia",The Queen Mother Challenge Cup,semi-final,M4,Station 1 - Berks,16:00,2024-07-06,118.0,False,201.0,False,425.0,2.5 lengths
3,"Rowing Canada 'A', Canada","Rowing Canada, Canada",Molesey Boat Club,Molesey Boat Club,The Town Challenge Cup,semi-final,W4,Station 2 - Bucks,15:50,2024-07-06,138.0,False,231.0,False,482.0,1.5 lengths
3,"RowAmerica Rye, U.S.A.","RowAmerica Rye, U.S.A.","Marin Rowing Association, U.S.A.","Marin Rowing Association, U.S.A.",The Prince Philip Challenge Trophy,semi-final,W8+,Station 1 - Berks,15:40,2024-07-06,139.0,False,237.0,False,483.0,0.66 lengths
3,Leander Club,Leander Club,"Penn Athletic Club Rowing Association and California Rowing Club, U.S.A.","Penn Athletic Club Rowing Association and California Rowing Club, U.S.A.",The Queen Mother Challenge Cup,semi-final,M4,Station 2 - Bucks,15:30,2024-07-06,118.0,False,199.0,False,416.0,0.5 lengths
3,Headington School,Headington School,"Newport Aquatic Center, U.S.A.","Newport Aquatic Center, U.S.A.",The Prince Philip Challenge Trophy,semi-final,W8+,Station 2 - Bucks,15:20,2024-07-06,135.0,True,227.0,False,467.0,0.66 lengths
3,Leander Club 'A',Leander Club,Oxford Brookes University,Oxford Brookes University,The Town Challenge Cup,semi-final,W4,Station 1 - Berks,15:10,2024-07-06,138.0,False,234.0,False,489.0,2.5 lengths
3,Leander Club 'A',Leander Club,Leander Club 'B',Leander Club,The Visitors' Challenge Cup,semi-final,M4,Station 1 - Berks,15:00,2024-07-06,120.0,False,203.0,False,429.0,2.25 lengths
3,"Princeton University, U.S.A.","Princeton University, U.S.A.",Thames Rowing Club and The Tideway Scullers' School,Thames Rowing Club and The Tideway Scullers' School,The Ladies' Challenge Plate,semi-final,M8+,Station 1 - Berks,13:20,2024-07-06,110.0,False,185.0,False,385.0,1.25 lengths
3,"Koninklijke Amsterdamsche Roei- en Zeilvereeniging 'De Hoop', Netherlands","Koninklijke Amsterdamsche Roei- en Zeilvereeniging 'De Hoop', Netherlands",Leander Club,Leander Club,The Thames Challenge Cup,semi-final,M8+,Station 2 - Bucks,13:10,2024-07-06,114.0,False,192.0,False,399.0,0.33 lengths
3,"University of Washington, U.S.A.","University of Washington, U.S.A.","Princeton Training Center and Craftsbury Green Racing Project, U.S.A.","Princeton Training Center and Craftsbury Green Racing Project, U.S.A.",The Grand Challenge Cup,semi-final,M8+,Station 1 - Berks,13:00,2024-07-06,110.0,False,184.0,False,386.0,1 lengths
3,"O. Zeidler, Frankfurter Rudergesellschaft Germania 1869 e.V., Germany","O. Zeidler, Frankfurter Rudergesellschaft Germania 1869 e.V., Germany","D. Gutierrez, Team España, Spain","D. Gutierrez, Team España, Spain",The Diamond Challenge Sculls,semi-final,M1,Station 2 - Bucks,12:50,2024-07-06,136.0,False,230.0,False,499.0,easily
3,"J.R. Bates & F.B. Keto, Oxford Brookes University and Thames Rowing Club","J.R. Bates & F.B. Keto, Oxford Brookes University and Thames Rowing Club","K. Feitner & K. Flynn, Advanced Rowing Initiative of the Northeast, U.S.A.","K. Feitner & K. Flynn, Advanced Rowing Initiative of the Northeast, U.S.A.",The Stonor Challenge Trophy,semi-final,W2,Station 1 - Berks,12:40,2024-07-06,148.0,False,247.0,False,512.0,3.5 lengths
3,Oxford Brookes University and Taurus Boat Club,Oxford Brookes University and Taurus Boat Club,Leander Club,Leander Club,The Grand Challenge Cup,semi-final,M8+,Station 1 - Berks,12:30,2024-07-06,111.0,False,185.0,False,385.0,1 lengths
3,"J. Plihal, Craftsbury Green Racing Project, U.S.A.","J. Plihal, Craftsbury Green Racing Project, U.S.A.","H.G. Harding, Australian National University Boat Club, Australia","H.G. Harding, Australian National University Boat Club, Australia",The Diamond Challenge Sculls,semi-final,M1,Station 1 - Berks,12:20,2024-07-06,146.0,True,244.0,False,515.0,2.5 lengths
3,"S. Wibberenz & L. Gutfleisch, Ruder-Club-Havel Brandenburg e.V. and Heidelberger Ruderklub 1872 e.V., Germany","S. Wibberenz & L. Gutfleisch, Ruder-Club-Havel Brandenburg e.V. and Heidelberger Ruderklub 1872 e.V., Germany","M. Fellows & M.J. Nabel, Cambridge Boat Club, U.S.A.","M. Fellows & M.J. Nabel, Cambridge Boat Club, U.S.A.",The Stonor Challenge Trophy,semi-final,W2,Station 1 - Berks,12:10,2024-07-06,146.0,False,247.0,False,512.0,2.75 lengths
4,Thames Rowing Club 'A',Thames Rowing Club,London Rowing Club 'A',London Rowing Club,The Thames Challenge Cup,semi-final,M8+,Station 1 - Berks,12:00,2024-07-06,113.0,False,191.0,False,407.0,1.25 lengths
4,Cambridge University,Cambridge University,Oxford Brookes University,Oxford Brookes University,The Ladies' Challenge Plate,semi-final,M8+,Station 1 - Berks,11:50,2024-07-06,111.0,False,187.0,False,394.0,1 lengths
4,London Rowing Club 'A',London Rowing Club,Thames Rowing Club 'B',Thames Rowing Club,The Wargrave Challenge Cup,semi-final,W8+,Station 2 - Bucks,11:40,2024-07-06,131.0,False,220.0,False,464.0,1.75 lengths
4,Marlow Rowing Club,Marlow Rowing Club,Shiplake College,Shiplake College,The Fawley Challenge Cup,semi-final,M4,Station 1 - Berks,11:30,2024-07-06,123.0,False,207.0,False,450.0,2.75 lengths
4,"J. Gare & C. Dafydd, Leander Club","J. Gare & C. Dafydd, Leander Club","N.R. Mohr & F.J. Wolter, Rudern, Tennis und Hockey Club Bayer Leverkusen and Ruder-Club Witten, Germany","N.R. Mohr & F.J. Wolter, Rudern, Tennis und Hockey Club Bayer Leverkusen and Ruder-Club Witten, Germany",The Double Sculls Challenge Cup,semi-final,M2,Station 2 - Bucks,11:20,2024-07-06,130.0,False,219.0,False,466.0,2.25 lengths
4,"E.M. Cornelis & J.P. Cornut-Danjou, Club France, France","E.M. Cornelis & J.P. Cornut-Danjou, Club France, France","E.C.A. Gaffney & S.M. Morton, Rowing Australia, Australia","E.C.A. Gaffney & S.M. Morton, Rowing Australia, Australia",The Hambleden Pairs Challenge Cup,semi-final,W2,Station 2 - Bucks,11:10,2024-07-06,149.0,False,251.0,False,532.0,2 lengths
4,"A.A. Cronk & K.A. Edwards, Rowing Canada, Canada","A.A. Cronk & K.A. Edwards, Rowing Canada, Canada","H. Reif & L. Sarassa, Frankfurter Rudergesellschaft Germania 1869 e.V. and Crefelder Ruderclub 1883 e.V., Germany","H. Reif & L. Sarassa, Frankfurter Rudergesellschaft Germania 1869 e.V. and Crefelder Ruderclub 1883 e.V., Germany",The Hambleden Pairs Challenge Cup,semi-final,W2,Station 2 - Bucks,11:00,2024-07-06,151.0,False,255.0,False,546.0,3.5 lengths
4,The Windsor Boys' School,The Windsor Boys' School,Hinksey Sculling School,Hinksey Sculling School,The Fawley Challenge Cup,semi-final,M4,Station 1 - Berks,10:50,2024-07-06,126.0,False,211.0,False,442.0,3 lengths
4,Thames Rowing Club 'A',Thames Rowing Club,Leander Club,Leander Club,The Wargrave Challenge Cup,semi-final,W8+,Station 2 - Bucks,10:40,2024-07-06,129.0,False,216.0,False,457.0,1.33 lengths
4,"C.M. Cunningham & C.C. Fuller, Penn Athletic Club Rowing Association and Saugatuck Rowing Club, U.S.A.","C.M. Cunningham & C.C. Fuller, Penn Athletic Club Rowing Association and Saugatuck Rowing Club, U.S.A.","V.B. Meijssen & O. Van Bohemen, Delftsche Studenten Roeivereeniging Proteus-Eretes and Eindhovense Studenten Roeivereniging Thêta, Netherlands","V.B. Meijssen & O. Van Bohemen, Delftsche Studenten Roeivereeniging Proteus-Eretes and Eindhovense Studenten Roeivereniging Thêta, Netherlands",The Double Sculls Challenge Cup,semi-final,M2,Station 2 - Bucks,10:30,2024-07-06,130.0,True,219.0,False,457.0,0.75 lengths
4,"R.D. Schmela & T. Hagemeister, Berliner Ruderclub and Frankfurter Rudergesellschaft Germania 1869 e.V., Germany","R.D. Schmela & T. Hagemeister, Berliner Ruderclub and Frankfurter Rudergesellschaft Germania 1869 e.V., Germany","M. Grossmann & M. Kammann, Ruder-Club Favorite Hammonia Hamburg and Der Hamburger und Germania Ruder Club, Germany","M. Grossmann & M. Kammann, Ruder-Club Favorite Hammonia Hamburg and Der Hamburger und Germania Ruder Club, Germany",The Silver Goblets & Nickalls' Challenge Cup,heats,M2-,Station 2 - Bucks,20:20,2024-07-05,133.0,False,221.0,False,461.0,2.75 lengths
4,Leander Club,Leander Club,"Rudergesellschaft ""Hansa"" Hamburg and Rudervereinigung Kappeln im Turn- und Sportverein Kappeln von 1876 e.V., Germany","Rudergesellschaft ""Hansa"" Hamburg and Rudervereinigung Kappeln im Turn- und Sportverein Kappeln von 1876 e.V., Germany",The Prince of Wales Challenge Cup,heats,M4,Station 2 - Bucks,20:15,2024-07-05,113.0,True,191.0,False,396.0,1.25 lengths
4,St. Edward's School,St. Edward's School,"King's College School, Wimbledon","King's College School, Wimbledon",The Princess Elizabeth Challenge Cup,heats,M8+,Station 1 - Berks,20:10,2024-07-05,112.0,False,188.0,False,390.0,0.75 lengths
4,Oxford Brookes University 'A',Oxford Brookes University,"Delftsche Studenten Roeivereeniging Laga 'A', Netherlands","Delftsche Studenten Roeivereeniging Laga, Netherlands",The Temple Challenge Cup,heats,M8+,Station 2 - Bucks,20:05,2024-07-05,109.0,False,182.0,False,378.0,2.25 lengths
4,St. Paul's School,St. Paul's School,"Princeton National Rowing Association, U.S.A.","Princeton National Rowing Association, U.S.A.",The Princess Elizabeth Challenge Cup,heats,M8+,Station 1 - Berks,20:00,2024-07-05,112.0,False,189.0,False,395.0,1.33 lengths
4,"C.M. Madden, Cambridge Boat Club, U.S.A.","C.M. Madden, Cambridge Boat Club, U.S.A.","S.R. Mckay, Grosvenor Rowing Club","S.R. Mckay, Grosvenor Rowing Club",The Princess Royal Challenge Cup,heats,W1,Station 2 - Bucks,19:50,2024-07-05,154.0,False,260.0,False,536.0,3ft
4,"Queen's University, Belfast","Queen's University, Belfast",Lea Rowing Club and London Rowing Club,Lea Rowing Club and London Rowing Club,The Prince of Wales Challenge Cup,heats,M4,Station 2 - Bucks,19:45,2024-07-05,119.0,False,199.0,False,409.0,1.25 lengths
4,The Tideway Scullers' School,The Tideway Scullers' School,Molesey Boat Club,Molesey Boat Club,The Diamond Jubilee Challenge Cup,heats,W4,Station 1 - Berks,19:40,2024-07-05,133.0,False,225.0,False,469.0,3 lengths
4,"Harvard University, U.S.A.","Harvard University, U.S.A.","Amsterdamsche Studenten Roeivereeniging Nereus 'A', Netherlands","Amsterdamsche Studenten Roeivereeniging Nereus, Netherlands",The Temple Challenge Cup,heats,M8+,Station 2 - Bucks,19:35,2024-07-05,112.0,True,188.0,False,389.0,0.66 lengths
4,Oxford Brookes University,Oxford Brookes University,"Rowing Canada, Canada","Rowing Canada, Canada",The Remenham Challenge Cup,heats,W8+,Station 2 - Bucks,19:30,2024-07-05,124.0,False,209.0,False,437.0,0.66 lengths
5,"J.E. Dorney & J.J. Kearney, Shandon Boat Club and University College, Cork, Ireland","J.E. Dorney & J.J. Kearney, Shandon Boat Club and University College, Cork, Ireland","I. Verkaik & J. Joordens, Amsterdamsche Studenten Roeivereeniging Nereus, Netherlands","I. Verkaik & J. Joordens, Amsterdamsche Studenten Roeivereeniging Nereus, Netherlands",The Silver Goblets & Nickalls' Challenge Cup,heats,M2-,Station 1 - Berks,19:20,2024-07-05,136.0,True,230.0,False,473.0,2 lengths
5,"Princeton Training Center and Advanced Rowing Initiative of the Northeast, U.S.A.","Princeton Training Center and Advanced Rowing Initiative of the Northeast, U.S.A.",Leander Club and Bann Rowing Club,Leander Club and Bann Rowing Club,The Remenham Challenge Cup,heats,W8+,Station 2 - Bucks,19:15,2024-07-05,125.0,True,210.0,False,438.0,1.75 lengths
5,Molesey Boat Club,Molesey Boat Club,"Algemene Rotterdamsche Studenten Roeivereniging Skadi, Netherlands","Algemene Rotterdamsche Studenten Roeivereniging Skadi, Netherlands",The Princess Grace Challenge Cup,heats,W4,Station 2 - Bucks,19:10,2024-07-05,135.0,False,228.0,False,479.0,4.5 lengths
5,University of London 'A',University of London,Edinburgh University 'B',Edinburgh University,The Island Challenge Cup,heats,W8+,Station 2 - Bucks,19:05,2024-07-05,130.0,False,218.0,False,458.0,1.5 lengths
5,"Marin Rowing Association, U.S.A.","Marin Rowing Association, U.S.A.",Shiplake College,Shiplake College,The Prince Philip Challenge Trophy,heats,W8+,Station 1 - Berks,19:00,2024-07-05,131.0,False,222.0,False,467.0,1.5 lengths
5,"RowAmerica Rye, U.S.A.","RowAmerica Rye, U.S.A.",Hinksey Sculling School,Hinksey Sculling School,The Prince Philip Challenge Trophy,heats,W8+,Station 1 - Berks,18:50,2024-07-05,132.0,False,220.0,False,459.0,0.75 lengths
5,Marlow Rowing Club,Marlow Rowing Club,"E.L. Crossley School, Canada","E.L. Crossley School, Canada",The Diamond Jubilee Challenge Cup,heats,W4,Station 2 - Bucks,18:45,2024-07-05,132.0,True,225.0,False,471.0,2.5 lengths
5,"Shawnigan Lake School, Canada","Shawnigan Lake School, Canada",Twickenham Rowing Club and Trentham Boat Club,Twickenham Rowing Club and Trentham Boat Club,The Princess Grace Challenge Cup,heats,W4,Station 1 - Berks,18:40,2024-07-05,128.0,False,215.0,False,450.0,3.75 lengths
5,"N. Van Sprang & G. Krommenhoek, Hollandia Roeiclub, Netherlands","N. Van Sprang & G. Krommenhoek, Hollandia Roeiclub, Netherlands","T.V. von Mueller & T.J. Rigney, Oxford University","T.V. von Mueller & T.J. Rigney, Oxford University",The Silver Goblets & Nickalls' Challenge Cup,heats,M2-,Station 2 - Bucks,18:35,2024-07-05,131.0,False,220.0,False,472.0,3.75 lengths
5,"S.M. Luwis, Whitemarsh Boat Club, U.S.A.","S.M. Luwis, Whitemarsh Boat Club, U.S.A.","A.E. Robson, Hamilton Rowing Club, New Zealand","A.E. Robson, Hamilton Rowing Club, New Zealand",The Princess Royal Challenge Cup,heats,W1,Station 2 - Bucks,18:30,2024-07-05,155.0,False,259.0,False,546.0,easily
5,Oxford Brookes University 'A',Oxford Brookes University,University of London 'A',University of London,The Prince Albert Challenge Cup,semi-final,M4+,Station 1 - Berks,17:20,2024-07-05,120.0,False,204.0,False,428.0,2.33 lengths
